sequence_id,sentence,tokens,tags,num_tokens,source_doc
SEQ_0000_00,10 CHAPTER The Human Eye and the Colourful World You have studied in the previous chapter about refraction of light by lenses,10 | CHAPTER | The | Human | Eye | and | the | Colourful | World | You | have | studied | in | the | previous,OTHER | OTHER | DET | OTHER | NOUN | OTHER | DET | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | DET | OTHER,15,jesc110.pdf_1_1
SEQ_0000_01,"You also studied the nature, position and relative size of images formed by lenses","You | also | studied | the | nature, | position | and | relative | size | of | images | formed | by | lenses",OTHER | OTHER | OTHER | DET | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER,14,jesc110.pdf_1_1
SEQ_0000_02,How can these ideas help us in the study of the human eye? The human eye uses light and enables us to see objects around us,How | can | these | ideas | help | us | in | the | study | of | the | human | eye? | The | human,OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | DET | OTHER | OTHER | DET | OTHER | OTHER | DET | OTHER,15,jesc110.pdf_1_1
SEQ_0001_01,1 THE HUMAN EYE The human eye is one of the most valuable and sensitive sense organs,1 | THE | HUMAN | EYE | The | human | eye | is | one | of | the | most | valuable | and | sensitive,OTHER | DET | OTHER | NOUN | DET | OTHER | NOUN | DET | OTHER | OTHER | DET | OTHER | OTHER | OTHER | OTHER,15,jesc110.pdf_1_2
SEQ_0001_02,It enables us to see the wonderful world and the colours around us,It | enables | us | to | see | the | wonderful | world | and | the | colours | around | us,OTHER | OTHER | OTHER | OTHER | OTHER | DET | OTHER | OTHER | OTHER | DET | OTHER | OTHER | OTHER,13,jesc110.pdf_1_2
SEQ_0002_00,The eyeball is approximately spherical in shape with a diameter of about 2,The | eyeball | is | approximately | spherical | in | shape | with | a | diameter | of | about | 2,DET | OTHER | DET | OTHER | OTHER | OTHER | OTHER | OTHER | DET | OTHER | OTHER | OTHER | OTHER,13,jesc110.pdf_1_3
SEQ_0002_02,Most of the refraction for the light rays entering the eye occurs at the outer surface of the cornea,Most | of | the | refraction | for | the | light | rays | entering | the | eye | occurs | at | the | outer,OTHER | OTHER | DET | OTHER | OTHER | DET | NOUN | OTHER | OTHER | DET | NOUN | OTHER | OTHER | DET | OTHER,15,jesc110.pdf_1_3
SEQ_0003_00,entering the eye,entering | the | eye,OTHER | DET | NOUN,3,jesc110.pdf_2_4
SEQ_0003_01,The eye lens forms an inverted real image of the object on the retina,The | eye | lens | forms | an | inverted | real | image | of | the | object | on | the | retina,DET | NOUN | NOUN | OTHER | DET | OTHER | OTHER | OTHER | OTHER | DET | OTHER | OTHER | DET | NOUN,14,jesc110.pdf_2_4
SEQ_0003_02,The retina is a delicate membrane having enormous number of light-sensitive cells,The | retina | is | a | delicate | membrane | having | enormous | number | of | light-sensitive | cells,DET | NOUN | DET | DET | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER,12,jesc110.pdf_2_4
SEQ_0004_00,This increases the curvature of the eye lens,This | increases | the | curvature | of | the | eye | lens,OTHER | OTHER | DET | OTHER | OTHER | DET | NOUN | NOUN,8,jesc110.pdf_2_5
SEQ_0004_01,The eye lens then becomes thicker,The | eye | lens | then | becomes | thicker,DET | NOUN | NOUN | OTHER | OTHER | OTHER,6,jesc110.pdf_2_5
SEQ_0004_02,"Consequently, the focal length of the eye lens decreases","Consequently, | the | focal | length | of | the | eye | lens | decreases",OTHER | DET | OTHER | OTHER | OTHER | DET | NOUN | NOUN | OTHER,9,jesc110.pdf_2_5
SEQ_0005_00,"For a young adult with normal vision, the near point is about 25 cm","For | a | young | adult | with | normal | vision, | the | near | point | is | about | 25 | cm",OTHER | DET | OTHER | OTHER | OTHER | OTHER | OTHER | DET | OTHER | OTHER | DET | OTHER | OTHER | OTHER,14,jesc110.pdf_2_6
SEQ_0005_01,The farthest point upto which the eye can see objects clearly is called the far point of the eye,The | farthest | point | upto | which | the | eye | can | see | objects | clearly | is | called | the | far,DET | OTHER | OTHER | OTHER | OTHER | DET | NOUN | OTHER | OTHER | OTHER | OTHER | DET | OTHER | DET | OTHER,15,jesc110.pdf_2_6
SEQ_0005_02,It is infinity for a normal eye,It | is | infinity | for | a | normal | eye,OTHER | DET | OTHER | OTHER | DET | OTHER | NOUN,7,jesc110.pdf_2_6
SEQ_0006_00,"These are (i) myopia or near-sightedness, (ii) Hypermetropia or far- sightedness, and (iii) Presbyopia","These | are | (i) | myopia | or | near-sightedness, | (ii) | Hypermetropia | or | far- | sightedness, | and | (iii) | Presbyopia",OTHER | DET | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER,14,jesc110.pdf_2_7
SEQ_0006_01,These defects can be corrected by the use of suitable spherical lenses,These | defects | can | be | corrected | by | the | use | of | suitable | spherical | lenses,OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | DET | OTHER | OTHER | OTHER | OTHER | OTHER,12,jesc110.pdf_2_7
SEQ_0006_02,We discuss below these defects and their correction,We | discuss | below | these | defects | and | their | correction,OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER,8,jesc110.pdf_2_7
SEQ_0007_00,(a) Myopia Myopia is also known as near- sightedness,(a) | Myopia | Myopia | is | also | known | as | near- | sightedness,OTHER | OTHER | OTHER | DET | OTHER | OTHER | OTHER | OTHER | OTHER,9,jesc110.pdf_3_8
SEQ_0007_01,A person with myopia can see nearby objects clearly but cannot see distant objects distinctly,A | person | with | myopia | can | see | nearby | objects | clearly | but | cannot | see | distant | objects | distinctly,DET | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER,15,jesc110.pdf_3_8
