question_id,question_text,question_type,topic,subject,difficulty,related_doc_id,expected_answer_context
Q1,Explain what General Concept means,definition,General Concept,general,easy,grade-10-science-and-technology-part-i.pdf_1_1,"Science and Technology Grade 10 Government of Nepal Ministry of Education, Science and Technology Curriculum Development Centre...."
Q2,How does General Concept work?,explanation,General Concept,general,medium,grade-10-science-and-technology-part-i.pdf_1_1,"Science and Technology Grade 10 Government of Nepal Ministry of Education, Science and Technology Curriculum Development Centre...."
Q3,Define General Concept,definition,General Concept,general,easy,grade-10-science-and-technology-part-i.pdf_2_2,"Publisher: Government of Nepal Ministry of Education, Science and Technology Curriculum Development Centre Sanothimi, Bhaktapur © Curriculum Development Centre All rights reserved, no part of this pub..."
Q4,How does General Concept work?,explanation,General Concept,general,medium,grade-10-science-and-technology-part-i.pdf_2_2,"Publisher: Government of Nepal Ministry of Education, Science and Technology Curriculum Development Centre Sanothimi, Bhaktapur © Curriculum Development Centre All rights reserved, no part of this pub..."
Q5,Give an example of General Concept,application,General Concept,general,hard,grade-10-science-and-technology-part-i.pdf_2_2,"Publisher: Government of Nepal Ministry of Education, Science and Technology Curriculum Development Centre Sanothimi, Bhaktapur © Curriculum Development Centre All rights reserved, no part of this pub..."
Q6,What is the difference between General Concept and related concepts?,comparison,General Concept,general,hard,grade-10-science-and-technology-part-i.pdf_2_2,"Publisher: Government of Nepal Ministry of Education, Science and Technology Curriculum Development Centre Sanothimi, Bhaktapur © Curriculum Development Centre All rights reserved, no part of this pub..."
Q7,Explain what General Concept means,definition,General Concept,general,easy,grade-10-science-and-technology-part-i.pdf_3_3,"Preface School education is the foundation for preparing the citizen who are loyal to the nation and nationality, committed to the norms and values of federal democratic republic, self-reliant and res..."
Q8,How does General Concept work?,explanation,General Concept,general,medium,grade-10-science-and-technology-part-i.pdf_3_3,"Preface School education is the foundation for preparing the citizen who are loyal to the nation and nationality, committed to the norms and values of federal democratic republic, self-reliant and res..."
Q9,Compare General Concept with related concepts,comparison,General Concept,general,hard,grade-10-science-and-technology-part-i.pdf_3_4,"This textbook is initially written by Dr. Indra Raj Upadhaya, Mrs. Mina Shrestha, Mr. Janak Raj Pant, Mr. Yubraj Aadhikari and Lav Dev Bhatta. It has been translated by Mrs. Rajani Maharjan, Mr. Naray..."
Q10,Explain what General Concept means,definition,General Concept,general,easy,grade-10-science-and-technology-part-i.pdf_3_5,Considerable efforts have been made to make the book helpful in achieving the expected competencies of the curriculum. Curriculum Development Centre always welcomes constructive feedback for further b...
Q11,Give an example of General Concept,application,General Concept,general,hard,grade-10-science-and-technology-part-i.pdf_3_5,Considerable efforts have been made to make the book helpful in achieving the expected competencies of the curriculum. Curriculum Development Centre always welcomes constructive feedback for further b...
Q12,What is General Concept?,definition,General Concept,general,easy,grade-10-science-and-technology-part-i.pdf_4_6,Contents Unit Topic Page 1 Scientific Learning 1 2 Classification of Living Beings 15 5 3 Honey Bee 59 4 Heredity 73 5 Physiological Structure and Life Process 111 6 Nature and Environment 142 7 Motio...
Q13,Why is General Concept important?,application,General Concept,general,hard,grade-10-science-and-technology-part-i.pdf_4_6,Contents Unit Topic Page 1 Scientific Learning 1 2 Classification of Living Beings 15 5 3 Honey Bee 59 4 Heredity 73 5 Physiological Structure and Life Process 111 6 Nature and Environment 142 7 Motio...
Q14,What is the difference between General Concept and related concepts?,comparison,General Concept,general,hard,grade-10-science-and-technology-part-i.pdf_4_6,Contents Unit Topic Page 1 Scientific Learning 1 2 Classification of Living Beings 15 5 3 Honey Bee 59 4 Heredity 73 5 Physiological Structure and Life Process 111 6 Nature and Environment 142 7 Motio...
